Fe-DFOB+ phosphate buffer +H2O2 + water, Cycle 1
5/23/2022 3:18:18 PM
Wavelength (nm),Absorbance
203.00,2.691415
202.00,2.732880
201.00,2.739090
200.00,2.804423
199.00,2.713178
198.00,2.735477
197.00,2.834245
196.00,2.881406
195.00,2.747751
194.00,2.787426
193.00,2.726373
192.00,2.733562
191.00,2.704571
190.00,2.687158


Fe-DFOB+ phosphate buffer +H2O2 + water, Cycle 2
5/23/2022 3:49:05 PM
Wavelength (nm),Absorbance
700.00,0.005630
699.00,0.005630
698.00,0.005807
697.00,0.006178
696.00,0.004982
695.00,0.006011
694.00,0.004895
693.00,0.005734
692.00,0.005808
691.00,0.006969
690.00,0.006435
689.00,0.006664
688.00,0.005038
687.00,0.005677
686.00,0.005687
685.00,0.005884
684.00,0.005966
683.00,0.006875
682.00,0.005949
681.00,0.005891
680.00,0.006680
679.00,0.006328
678.00,0.005770
677.00,0.005939
676.00,0.005718
675.00,0.006643
674.00,0.006749
673.00,0.006295
672.00,0.005557
671.00,0.006308
670.00,0.006403
669.00,0.006408
668.00,0.006058
667.00,0.007060
666.00,0.006845
665.00,0.006602
664.00,0.005754
663.00,0.006841
662.00,0.006869
661.00,0.006491
660.00,0.006162
659.00,0.007078
658.00,0.007732
657.00,0.006994
656.00,0.007878
655.00,0.004905
654.00,0.006719
653.00,0.005881
652.00,0.006538
651.00,0.006627
650.00,0.006454
649.00,0.005910
648.00,0.006233
647.00,0.006941
646.00,0.006965
645.00,0.005845
644.00,0.006684
643.00,0.005759
642.00,0.005889
641.00,0.006484
640.00,0.007666
639.00,0.007333
638.00,0.006617
637.00,0.007013
636.00,0.006154
635.00,0.006468
634.00,0.007711
633.00,0.006787
632.00,0.006373
631.00,0.007165
630.00,0.006719
629.00,0.007171
628.00,0.007095
627.00,0.006618
626.00,0.006339
625.00,0.007122
624.00,0.007471
623.00,0.006621
622.00,0.007439
621.00,0.006776
620.00,0.007245
619.00,0.007546
618.00,0.007272
617.00,0.006725
616.00,0.007146
615.00,0.007335
614.00,0.007883
613.00,0.007113
612.00,0.007229
611.00,0.007848
610.00,0.007169
609.00,0.007628
608.00,0.007262
607.00,0.007278
606.00,0.006975
605.00,0.007444
604.00,0.008176
603.00,0.007505
602.00,0.007364
601.00,0.007234
600.00,0.007466
599.00,0.008844
598.00,0.007993
597.00,0.008329
596.00,0.008403
595.00,0.007691
594.00,0.008907
593.00,0.007489
592.00,0.008885
591.00,0.008074
590.00,0.008072
589.00,0.008341
588.00,0.008097
587.00,0.008153
586.00,0.008477
585.00,0.007783
584.00,0.008449
583.00,0.008790
582.00,0.008838
581.00,0.008753
580.00,0.009164
579.00,0.009118
578.00,0.010140
577.00,0.009544
576.00,0.009357
575.00,0.010266
574.00,0.009689
573.00,0.009852
572.00,0.009678
571.00,0.010111
570.00,0.009973
569.00,0.009320
568.00,0.009546
567.00,0.010183
566.00,0.010395
565.00,0.010630
564.00,0.009903
563.00,0.010780
562.00,0.011273
561.00,0.010305
560.00,0.011236
559.00,0.010835
558.00,0.010711
557.00,0.011495
556.00,0.011590
555.00,0.012628
554.00,0.011956
553.00,0.011928
552.00,0.012708
551.00,0.011930
550.00,0.012751
549.00,0.012988
548.00,0.013393
547.00,0.013702
546.00,0.013587
545.00,0.013712
544.00,0.013530
543.00,0.014160
542.00,0.014453
541.00,0.014460
540.00,0.014419
539.00,0.014628
538.00,0.014896
537.00,0.015331
536.00,0.015673
535.00,0.015963
534.00,0.016184
533.00,0.016138
532.00,0.016325
531.00,0.017201
530.00,0.017028
529.00,0.017548
528.00,0.017898
527.00,0.018603
526.00,0.018715
525.00,0.018582
524.00,0.018964
523.00,0.019851
