Sample1, Cycle 1
5/15/2022 9:44:14 AM
Wavelength (nm),Absorbance
506.00,0.016537
505.00,0.017735
504.00,0.017348
503.00,0.018593
502.00,0.018881
501.00,0.018677
500.00,0.019025
499.00,0.019707
498.00,0.019964
497.00,0.020327
496.00,0.021120
495.00,0.022125
494.00,0.022271
493.00,0.022364
492.00,0.023106
491.00,0.023251
490.00,0.023885
489.00,0.023896
488.00,0.024548
487.00,0.024856
486.00,0.025310
485.00,0.026003
484.00,0.026356
483.00,0.026804
482.00,0.027046
481.00,0.027865
480.00,0.028158
479.00,0.028320
478.00,0.028934
477.00,0.028812
476.00,0.029767
475.00,0.029662
474.00,0.030271
473.00,0.030860
472.00,0.030801
471.00,0.031281
470.00,0.031447
469.00,0.031974
468.00,0.032694
467.00,0.032790
466.00,0.033335
465.00,0.033360
464.00,0.033855
463.00,0.033959
462.00,0.034534
461.00,0.034616
460.00,0.035156
459.00,0.035089
458.00,0.035480
457.00,0.035691
456.00,0.035729
455.00,0.036266
454.00,0.036535
453.00,0.036838
452.00,0.036832
451.00,0.036874
450.00,0.036908
449.00,0.037287
448.00,0.037641
447.00,0.037871
446.00,0.037885
445.00,0.037938
444.00,0.038284
443.00,0.038189
442.00,0.038846
441.00,0.038601
440.00,0.038951
439.00,0.039139
438.00,0.038943
437.00,0.039399
436.00,0.039312
435.00,0.039559
434.00,0.039785
433.00,0.039954
432.00,0.040207
431.00,0.040266
430.00,0.040361
429.00,0.040647
428.00,0.040714
427.00,0.040468
426.00,0.040634
425.00,0.040676
424.00,0.040783
423.00,0.040850
422.00,0.040907
421.00,0.040944
420.00,0.041032
419.00,0.040874
418.00,0.040871
417.00,0.040645
416.00,0.040779
415.00,0.040788
414.00,0.040614
413.00,0.040528
412.00,0.040494
411.00,0.039524
410.00,0.039687
409.00,0.039785
408.00,0.039251
407.00,0.039231
406.00,0.038697
405.00,0.039488
404.00,0.039385
403.00,0.038364
402.00,0.038238
401.00,0.038739
400.00,0.037802
399.00,0.037931
398.00,0.037626
397.00,0.036920
396.00,0.036522
395.00,0.036765
394.00,0.036071
393.00,0.036556
392.00,0.035701
391.00,0.035344
390.00,0.034818
389.00,0.034916
388.00,0.034116
387.00,0.033692
386.00,0.033303
385.00,0.033745
384.00,0.032701
383.00,0.033310
382.00,0.032034
381.00,0.033401
380.00,0.031890
379.00,0.031529
378.00,0.030816
377.00,0.031139
376.00,0.030382
375.00,0.029886
374.00,0.030332
373.00,0.031041
372.00,0.029811
371.00,0.029260
370.00,0.030981
369.00,0.029283
368.00,0.029075
367.00,0.028927
366.00,0.029538
365.00,0.028800
364.00,0.028392
363.00,0.029046
362.00,0.028215
361.00,0.027635
360.00,0.027660
359.00,0.026708
358.00,0.027031
357.00,0.026738
356.00,0.025747
355.00,0.026319
354.00,0.025491
353.00,0.026236
352.00,0.025556
351.00,0.026266
350.00,0.025435
349.00,0.026431
348.00,0.025427
347.00,0.024811
346.00,0.025567
345.00,0.024981
344.00,0.025211
343.00,0.025414
342.00,0.025343
341.00,0.025728
340.00,0.024857
339.00,0.025438
338.00,0.026248
337.00,0.026900
336.00,0.028777
335.00,0.028426
334.00,0.029507
333.00,0.030932
332.00,0.031384
331.00,0.031521
330.00,0.032597
329.00,0.033283
328.00,0.036204
327.00,0.037016
326.00,0.039101
325.00,0.040275
324.00,0.041687
323.00,0.043696
322.00,0.047326
321.00,0.049067
320.00,0.051682
319.00,0.054019
318.00,0.056695
317.00,0.060499
316.00,0.064819
315.00,0.069126
314.00,0.072329
313.00,0.079497
312.00,0.085774
311.00,0.092311
310.00,0.100251
309.00,0.107107
308.00,0.115048
307.00,0.123654
306.00,0.134624
305.00,0.144025
304.00,0.153917
303.00,0.165059
302.00,0.175177
301.00,0.184835
300.00,0.196767
299.00,0.207377
298.00,0.218042
297.00,0.229447
296.00,0.239654
295.00,0.251511
294.00,0.262980
293.00,0.275641
292.00,0.287999
291.00,0.301589
290.00,0.313734
289.00,0.329513
288.00,0.343924
287.00,0.359669
286.00,0.373164
285.00,0.389045
284.00,0.405359
283.00,0.425622
282.00,0.442839
281.00,0.460695
280.00,0.482172
279.00,0.504922
278.00,0.526891
277.00,0.550388
276.00,0.576995
275.00,0.601209
274.00,0.628523
273.00,0.658574
272.00,0.686024
271.00,0.715005
270.00,0.750305
269.00,0.782437
268.00,0.818309
267.00,0.856090
266.00,0.892460
265.00,0.935584
264.00,0.980476
263.00,1.018225
262.00,1.066200
261.00,1.117656
260.00,1.167053
259.00,1.219835
258.00,1.272951
257.00,1.329671
256.00,1.394150
255.00,1.453392
254.00,1.518075
253.00,1.597546
252.00,1.664760
251.00,1.726430
250.00,1.804853
249.00,1.878847
248.00,1.951859
247.00,2.032078
246.00,2.088400
245.00,2.157639
244.00,2.224794
243.00,2.293703
242.00,2.367787
241.00,2.425321
240.00,2.493854
239.00,2.554105
238.00,2.624881
237.00,2.687954
236.00,2.759219
235.00,2.836189
234.00,2.920929
233.00,2.943467
232.00,3.007884
231.00,3.071659
230.00,3.202400
229.00,3.279753
228.00,3.357988
227.00,3.476940
226.00,3.370865
225.00,3.772101
224.00,3.366285
223.00,3.564936
222.00,3.676707
221.00,3.410268
220.00,3.415818
219.00,3.652779
218.00,3.640688
217.00,3.832298
216.00,3.556600
215.00,3.487980
214.00,3.594444
213.00,3.614609
212.00,3.422059
211.00,3.374654
210.00,3.394211
209.00,3.473259
208.00,3.483315
207.00,3.414355
206.00,NaN
205.00,3.353887
204.00,3.576465
203.00,3.288305
202.00,3.773912
201.00,3.203163
200.00,3.415999
199.00,3.273694
198.00,3.664134
197.00,3.766646
196.00,3.669348
195.00,4.260200
194.00,3.299372
193.00,NaN
192.00,2.894801
191.00,3.916843
190.00,2.668873


Sample1, Cycle 3
5/15/2022 10:45:04 AM
Wavelength (nm),Absorbance
700.00,-0.001966
699.00,-0.001519
698.00,-0.002313
697.00,-0.001627
696.00,-0.001733
695.00,-0.002370
694.00,-0.002581
693.00,-0.002887
692.00,-0.002296
691.00,-0.002677
690.00,-0.002474
689.00,-0.002008
688.00,-0.001694
687.00,-0.003111
686.00,-0.001237
685.00,-0.002146
684.00,-0.002188
683.00,-0.002147
682.00,-0.001976
681.00,-0.002634
680.00,-0.001783
679.00,-0.002032
678.00,-0.000889
677.00,-0.001902
676.00,-0.001957
675.00,-0.001327
674.00,-0.002169
673.00,-0.002011
672.00,-0.002181
671.00,-0.001822
670.00,-0.002229
669.00,-0.002114
668.00,-0.002330
667.00,-0.001958
666.00,-0.002006
665.00,-0.001812
664.00,-0.002567
663.00,-0.001981
662.00,-0.000964
661.00,-0.001354
660.00,-0.002893
659.00,-0.002029
658.00,-0.000677
657.00,-0.002270
656.00,-0.003108
655.00,-0.001419
654.00,-0.001881
653.00,-0.001218
652.00,-0.001772
651.00,-0.002211
650.00,-0.001837
649.00,-0.002362
648.00,-0.001325
647.00,-0.001461
646.00,-0.003276
645.00,-0.000439
644.00,-0.002189
643.00,-0.001522
642.00,-0.001727
641.00,-0.001503
640.00,-0.002868
639.00,-0.001039
638.00,-0.001756
637.00,-0.001825
636.00,-0.002210
635.00,-0.001999
634.00,-0.002338
633.00,-0.001294
632.00,-0.001171
631.00,-0.001097
630.00,-0.001698
629.00,-0.002018
628.00,-0.002369
627.00,-0.002345
626.00,-0.001331
625.00,-0.001994
624.00,-0.002198
623.00,-0.002425
622.00,-0.002044
621.00,-0.002163
620.00,-0.002194
619.00,-0.002157
618.00,-0.002570
617.00,-0.000917
616.00,-0.002574
615.00,-0.002198
614.00,-0.002094
613.00,-0.002014
612.00,-0.002269
611.00,-0.002206
610.00,-0.001286
609.00,-0.001866
